id,temperature,humidity,datetime,last_capture
29_60,31.7,75.1,2020-02-05 18:00:06,2020-02-14 18:00:06
29_75,31.7,75.1,2020-02-05 18:00:06,2020-02-14 18:00:06
30,29,81.1,2020-02-06 00:00:06,2020-02-14 18:00:06
30_15,29,81.1,2020-02-06 00:00:06,2020-02-14 18:00:06
30_30,29,81.1,2020-02-06 00:00:06,2020-02-14 18:00:06
30_45,29,81.1,2020-02-06 00:00:06,2020-02-14 18:00:06
30_60,29,81.1,2020-02-06 00:00:06,2020-02-14 18:00:06
30_75,29,81.1,2020-02-06 00:00:06,2020-02-14 18:00:06
31,27.6,85,2020-02-06 06:00:06,2020-02-14 18:00:06
31_15,27.6,85,2020-02-06 06:00:06,2020-02-14 18:00:06
31_30,27.6,85,2020-02-06 06:00:06,2020-02-14 18:00:06
31_45,27.6,85,2020-02-06 06:00:06,2020-02-14 18:00:06
31_60,27.6,85,2020-02-06 06:00:06,2020-02-14 18:00:06
31_75,27.6,85,2020-02-06 06:00:06,2020-02-14 18:00:06
32,33.2,72.8,2020-02-06 12:00:07,2020-02-14 18:00:06
32_15,33.2,72.8,2020-02-06 12:00:07,2020-02-14 18:00:06
32_30,33.2,72.8,2020-02-06 12:00:07,2020-02-14 18:00:06
32_45,33.2,72.8,2020-02-06 12:00:07,2020-02-14 18:00:06
32_60,33.2,72.8,2020-02-06 12:00:07,2020-02-14 18:00:06
32_75,33.2,72.8,2020-02-06 12:00:07,2020-02-14 18:00:06
33,34.7,65.2,2020-02-06 14:00:06,2020-02-14 18:00:06
33_15,34.7,65.2,2020-02-06 14:00:06,2020-02-14 18:00:06
33_30,34.7,65.2,2020-02-06 14:00:06,2020-02-14 18:00:06
33_45,34.7,65.2,2020-02-06 14:00:06,2020-02-14 18:00:06
33_60,34.7,65.2,2020-02-06 14:00:06,2020-02-14 18:00:06
33_75,34.7,65.2,2020-02-06 14:00:06,2020-02-14 18:00:06
34,31.4,69.7,2020-02-06 18:00:06,2020-02-14 18:00:06
34_15,31.4,69.7,2020-02-06 18:00:06,2020-02-14 18:00:06
34_30,31.4,69.7,2020-02-06 18:00:06,2020-02-14 18:00:06
34_45,31.4,69.7,2020-02-06 18:00:06,2020-02-14 18:00:06
34_60,31.4,69.7,2020-02-06 18:00:06,2020-02-14 18:00:06
34_75,31.4,69.7,2020-02-06 18:00:06,2020-02-14 18:00:06
35,28.8,81.3,2020-02-07 00:00:06,2020-02-14 18:00:06
35_15,28.8,81.3,2020-02-07 00:00:06,2020-02-14 18:00:06
35_30,28.8,81.3,2020-02-07 00:00:06,2020-02-14 18:00:06
35_45,28.8,81.3,2020-02-07 00:00:06,2020-02-14 18:00:06
35_60,28.8,81.3,2020-02-07 00:00:06,2020-02-14 18:00:06
35_75,28.8,81.3,2020-02-07 00:00:06,2020-02-14 18:00:06
36,28.2,83.5,2020-02-07 06:00:06,2020-02-14 18:00:06
36_15,28.2,83.5,2020-02-07 06:00:06,2020-02-14 18:00:06
36_30,28.2,83.5,2020-02-07 06:00:06,2020-02-14 18:00:06
36_45,28.2,83.5,2020-02-07 06:00:06,2020-02-14 18:00:06
36_60,28.2,83.5,2020-02-07 06:00:06,2020-02-14 18:00:06
36_75,28.2,83.5,2020-02-07 06:00:06,2020-02-14 18:00:06
37,34.2,70,2020-02-07 12:00:06,2020-02-14 18:00:06
37_15,34.2,70,2020-02-07 12:00:06,2020-02-14 18:00:06
37_30,34.2,70,2020-02-07 12:00:06,2020-02-14 18:00:06
37_45,34.2,70,2020-02-07 12:00:06,2020-02-14 18:00:06
37_60,34.2,70,2020-02-07 12:00:06,2020-02-14 18:00:06
37_75,34.2,70,2020-02-07 12:00:06,2020-02-14 18:00:06
38,35,60,2020-02-07 14:00:06,2020-02-14 18:00:06
38_15,35,60,2020-02-07 14:00:06,2020-02-14 18:00:06
38_30,35,60,2020-02-07 14:00:06,2020-02-14 18:00:06
38_45,35,60,2020-02-07 14:00:06,2020-02-14 18:00:06
38_60,35,60,2020-02-07 14:00:06,2020-02-14 18:00:06
38_75,35,60,2020-02-07 14:00:06,2020-02-14 18:00:06
39,30,72,2020-02-09 18:00:06,2020-02-14 18:00:06
39_15,30,72,2020-02-09 18:00:06,2020-02-14 18:00:06
39_30,30,72,2020-02-09 18:00:06,2020-02-14 18:00:06
39_45,30,72,2020-02-09 18:00:06,2020-02-14 18:00:06
39_60,30,72,2020-02-09 18:00:06,2020-02-14 18:00:06
39_75,30,72,2020-02-09 18:00:06,2020-02-14 18:00:06
40,29.1,81.6,2020-02-10 00:00:06,2020-02-14 18:00:06
40_15,29.1,81.6,2020-02-10 00:00:06,2020-02-14 18:00:06
40_30,29.1,81.6,2020-02-10 00:00:06,2020-02-14 18:00:06
40_45,29.1,81.6,2020-02-10 00:00:06,2020-02-14 18:00:06
40_60,29.1,81.6,2020-02-10 00:00:06,2020-02-14 18:00:06
40_75,29.1,81.6,2020-02-10 00:00:06,2020-02-14 18:00:06
41,27.9,82.5,2020-02-10 06:00:06,2020-02-14 18:00:06
41_15,27.9,82.5,2020-02-10 06:00:06,2020-02-14 18:00:06
41_30,27.9,82.5,2020-02-10 06:00:06,2020-02-14 18:00:06
41_45,27.9,82.5,2020-02-10 06:00:06,2020-02-14 18:00:06
41_60,27.9,82.5,2020-02-10 06:00:06,2020-02-14 18:00:06
41_75,27.9,82.5,2020-02-10 06:00:06,2020-02-14 18:00:06
42,32.6,67.1,2020-02-10 12:00:06,2020-02-14 18:00:06
42_15,32.6,67.1,2020-02-10 12:00:06,2020-02-14 18:00:06
42_30,32.6,67.1,2020-02-10 12:00:06,2020-02-14 18:00:06
42_45,32.6,67.1,2020-02-10 12:00:06,2020-02-14 18:00:06
42_60,32.6,67.1,2020-02-10 12:00:06,2020-02-14 18:00:06
42_75,32.6,67.1,2020-02-10 12:00:06,2020-02-14 18:00:06
43,33.7,63.5,2020-02-10 14:00:06,2020-02-14 18:00:06
43_15,33.7,63.5,2020-02-10 14:00:06,2020-02-14 18:00:06
43_30,33.7,63.5,2020-02-10 14:00:06,2020-02-14 18:00:06
43_45,33.7,63.5,2020-02-10 14:00:06,2020-02-14 18:00:06
43_60,33.7,63.5,2020-02-10 14:00:06,2020-02-14 18:00:06
43_75,33.7,63.5,2020-02-10 14:00:06,2020-02-14 18:00:06
44,31.1,71.9,2020-02-10 18:00:06,2020-02-14 18:00:06
44_15,31.1,71.9,2020-02-10 18:00:06,2020-02-14 18:00:06
44_30,31.1,71.9,2020-02-10 18:00:06,2020-02-14 18:00:06
44_45,31.1,71.9,2020-02-10 18:00:06,2020-02-14 18:00:06
44_60,31.1,71.9,2020-02-10 18:00:06,2020-02-14 18:00:06
44_75,31.1,71.9,2020-02-10 18:00:06,2020-02-14 18:00:06
45,29.5,80.1,2020-02-11 00:00:16,2020-02-14 18:00:06
45_15,29.5,80.1,2020-02-11 00:00:16,2020-02-14 18:00:06
45_30,29.5,80.1,2020-02-11 00:00:16,2020-02-14 18:00:06
45_45,29.5,80.1,2020-02-11 00:00:16,2020-02-14 18:00:06
45_60,29.5,80.1,2020-02-11 00:00:16,2020-02-14 18:00:06
45_75,29.5,80.1,2020-02-11 00:00:16,2020-02-14 18:00:06
46,29.7,81.4,2020-02-12 00:00:06,2020-02-14 18:00:06
46_15,29.7,81.4,2020-02-12 00:00:06,2020-02-14 18:00:06
46_30,29.7,81.4,2020-02-12 00:00:06,2020-02-14 18:00:06
46_45,29.7,81.4,2020-02-12 00:00:06,2020-02-14 18:00:06
46_60,29.7,81.4,2020-02-12 00:00:06,2020-02-14 18:00:06
46_75,29.7,81.4,2020-02-12 00:00:06,2020-02-14 18:00:06
47,28.6,83.3,2020-02-12 06:00:06,2020-02-14 18:00:06
47_15,28.6,83.3,2020-02-12 06:00:06,2020-02-14 18:00:06
47_30,28.6,83.3,2020-02-12 06:00:06,2020-02-14 18:00:06
47_45,28.6,83.3,2020-02-12 06:00:06,2020-02-14 18:00:06
47_60,28.6,83.3,2020-02-12 06:00:06,2020-02-14 18:00:06
47_75,28.6,83.3,2020-02-12 06:00:06,2020-02-14 18:00:06
48,33.3,70.1,2020-02-12 12:00:06,2020-02-14 18:00:06
48_15,33.3,70.1,2020-02-12 12:00:06,2020-02-14 18:00:06
48_30,33.3,70.1,2020-02-12 12:00:06,2020-02-14 18:00:06
48_45,33.3,70.1,2020-02-12 12:00:06,2020-02-14 18:00:06
48_60,33.3,70.1,2020-02-12 12:00:06,2020-02-14 18:00:06
48_75,33.3,70.1,2020-02-12 12:00:06,2020-02-14 18:00:06
49,34.5,66.3,2020-02-12 14:00:06,2020-02-14 18:00:06
49_15,34.5,66.3,2020-02-12 14:00:06,2020-02-14 18:00:06
49_30,34.5,66.3,2020-02-12 14:00:06,2020-02-14 18:00:06
49_45,34.5,66.3,2020-02-12 14:00:06,2020-02-14 18:00:06
49_60,34.5,66.3,2020-02-12 14:00:06,2020-02-14 18:00:06
49_75,34.5,66.3,2020-02-12 14:00:06,2020-02-14 18:00:06
50,32,70.8,2020-02-12 18:00:06,2020-02-14 18:00:06
50_15,32,70.8,2020-02-12 18:00:06,2020-02-14 18:00:06
50_30,32,70.8,2020-02-12 18:00:06,2020-02-14 18:00:06
50_45,32,70.8,2020-02-12 18:00:06,2020-02-14 18:00:06
50_60,32,70.8,2020-02-12 18:00:06,2020-02-14 18:00:06
50_75,32,70.8,2020-02-12 18:00:06,2020-02-14 18:00:06
51,29.8,80.6,2020-02-13 00:00:06,2020-02-14 18:00:06
51_15,29.8,80.6,2020-02-13 00:00:06,2020-02-14 18:00:06
51_30,29.8,80.6,2020-02-13 00:00:06,2020-02-14 18:00:06
51_45,29.8,80.6,2020-02-13 00:00:06,2020-02-14 18:00:06
51_60,29.8,80.6,2020-02-13 00:00:06,2020-02-14 18:00:06
51_75,29.8,80.6,2020-02-13 00:00:06,2020-02-14 18:00:06
52,28.7,83.7,2020-02-13 06:00:06,2020-02-14 18:00:06
52_15,28.7,83.7,2020-02-13 06:00:06,2020-02-14 18:00:06
52_30,28.7,83.7,2020-02-13 06:00:06,2020-02-14 18:00:06
52_45,28.7,83.7,2020-02-13 06:00:06,2020-02-14 18:00:06
52_60,28.7,83.7,2020-02-13 06:00:06,2020-02-14 18:00:06
52_75,28.7,83.7,2020-02-13 06:00:06,2020-02-14 18:00:06
53,33.5,70.6,2020-02-13 12:00:06,2020-02-14 18:00:06
53_15,33.5,70.6,2020-02-13 12:00:06,2020-02-14 18:00:06
53_30,33.5,70.6,2020-02-13 12:00:06,2020-02-14 18:00:06
53_45,33.5,70.6,2020-02-13 12:00:06,2020-02-14 18:00:06
53_60,33.5,70.6,2020-02-13 12:00:06,2020-02-14 18:00:06
53_75,33.5,70.6,2020-02-13 12:00:06,2020-02-14 18:00:06
54,34.3,63.2,2020-02-13 14:00:06,2020-02-14 18:00:06
54_15,34.3,63.2,2020-02-13 14:00:06,2020-02-14 18:00:06
54_30,34.3,63.2,2020-02-13 14:00:06,2020-02-14 18:00:06
54_45,34.3,63.2,2020-02-13 14:00:06,2020-02-14 18:00:06
54_60,34.3,63.2,2020-02-13 14:00:06,2020-02-14 18:00:06
54_75,34.3,63.2,2020-02-13 14:00:06,2020-02-14 18:00:06
55,31.5,69.1,2020-02-13 18:00:06,2020-02-14 18:00:06
55_15,31.5,69.1,2020-02-13 18:00:06,2020-02-14 18:00:06
55_30,31.5,69.1,2020-02-13 18:00:06,2020-02-14 18:00:06
55_45,31.5,69.1,2020-02-13 18:00:06,2020-02-14 18:00:06
55_60,31.5,69.1,2020-02-13 18:00:06,2020-02-14 18:00:06
55_75,31.5,69.1,2020-02-13 18:00:06,2020-02-14 18:00:06
56,34.1,73.5,2020-02-14 12:00:06,2020-02-14 18:00:06
56_15,34.1,73.5,2020-02-14 12:00:06,2020-02-14 18:00:06
56_30,34.1,73.5,2020-02-14 12:00:06,2020-02-14 18:00:06
56_45,34.1,73.5,2020-02-14 12:00:06,2020-02-14 18:00:06
56_60,34.1,73.5,2020-02-14 12:00:06,2020-02-14 18:00:06
56_75,34.1,73.5,2020-02-14 12:00:06,2020-02-14 18:00:06
57,34.8,66.1,2020-02-14 14:00:06,2020-02-14 18:00:06
57_15,34.8,66.1,2020-02-14 14:00:06,2020-02-14 18:00:06
57_30,34.8,66.1,2020-02-14 14:00:06,2020-02-14 18:00:06
57_45,34.8,66.1,2020-02-14 14:00:06,2020-02-14 18:00:06
57_60,34.8,66.1,2020-02-14 14:00:06,2020-02-14 18:00:06
57_75,34.8,66.1,2020-02-14 14:00:06,2020-02-14 18:00:06
58,32.3,68.9,2020-02-14 18:00:06,2020-02-14 18:00:06
58_15,32.3,68.9,2020-02-14 18:00:06,2020-02-14 18:00:06
58_30,32.3,68.9,2020-02-14 18:00:06,2020-02-14 18:00:06
58_45,32.3,68.9,2020-02-14 18:00:06,2020-02-14 18:00:06
58_60,32.3,68.9,2020-02-14 18:00:06,2020-02-14 18:00:06
58_75,32.3,68.9,2020-02-14 18:00:06,2020-02-14 18:00:06
59,28.9,82.9,2020-02-15 00:00:06,2020-02-14 18:00:06
59_15,28.9,82.9,2020-02-15 00:00:06,2020-02-14 18:00:06
59_30,28.9,82.9,2020-02-15 00:00:06,2020-02-14 18:00:06
59_45,28.9,82.9,2020-02-15 00:00:06,2020-02-14 18:00:06
59_60,28.9,82.9,2020-02-15 00:00:06,2020-02-14 18:00:06
59_75,28.9,82.9,2020-02-15 00:00:06,2020-02-14 18:00:06
60,28.7,83.4,2020-02-15 06:00:06,2020-02-14 18:00:06
60_15,28.7,83.4,2020-02-15 06:00:06,2020-02-14 18:00:06
60_30,28.7,83.4,2020-02-15 06:00:06,2020-02-14 18:00:06
60_45,28.7,83.4,2020-02-15 06:00:06,2020-02-14 18:00:06
60_60,28.7,83.4,2020-02-15 06:00:06,2020-02-14 18:00:06
60_75,28.7,83.4,2020-02-15 06:00:06,2020-02-14 18:00:06
61,31.9,72.4,2020-02-15 12:00:06,2020-02-14 18:00:06
61_15,31.9,72.4,2020-02-15 12:00:06,2020-02-14 18:00:06
61_30,31.9,72.4,2020-02-15 12:00:06,2020-02-14 18:00:06
